Pathway,MM1,MM2,MM3,MM4,MV1,MV2,MV3,UM1,UM2,UM3,UM4,UM5
GALACT-GLUCUROCAT-PWY: superpathway of hexuronide and hexuronate degradation,0,0,0,0,0,0,0,0,0,0,0,0
GALACTARDEG-PWY: D-galactarate degradation I,0,0,0,0,0,0,0,0,0,0,0,0
GALACTUROCAT-PWY: D-galacturonate degradation I,0,0,0,0,0,0,0,0,0,0,0,0
GALLATE-DEGRADATION-I-PWY: gallate degradation II,0,0,0,0,0,0,0,0,0,0,0,0
GALLATE-DEGRADATION-II-PWY: gallate degradation I,0,0,0,0,0,0,0,0,0,0,0,0
GAMMAHEXCHLORDEG-PWY: &gamma;-hexachlorocyclohexane degradation,0,0,0,0,0,0,0,0,0,0,0,0
"GLCMANNANAUT-PWY: superpathway of N-acetylglucosamine, N-acetylmannosamine and N-acetylneuraminate degradation",0,0,0,0,0,0,0,0,0,0,0,0
GLUCARDEG-PWY: D-glucarate degradation I,0,0,0,0,0,0,0,0,0,0,0,0
GLUCARGALACTSUPER-PWY: superpathway of D-glucarate and D-galactarate degradation,0,0,0,0,0,0,0,0,0,0,0,0
GLUCONEO-PWY: gluconeogenesis I,98,94,89,82,99,82,87,99,98,99,97,99
GLUCOSE1PMETAB-PWY: glucose and glucose-1-phosphate degradation,0,0,0,0,0,0,0,0,0,0,0,0
GLUCUROCAT-PWY: superpathway of &beta;-D-glucuronide and D-glucuronate degradation,0,0,0,0,0,0,0,0,0,0,0,0
GLUDEG-I-PWY: GABA shunt,0,0,0,0,0,0,0,0,0,0,0,0
GLUDEG-II-PWY: L-glutamate degradation VII (to butanoate),0,0,0,0,0,0,0,0,0,0,0,0
GLUTORN-PWY: L-ornithine biosynthesis,0,0,0,0,0,0,0,0,0,0,0,0
GLYCOCAT-PWY: glycogen degradation I (bacterial),0,0,0,0,0,0,0,0,0,0,0,0
GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose),0,0,0,0,0,0,0,0,0,0,0,0
GLYCOLYSIS-E-D: superpathway of glycolysis and Entner-Doudoroff,0,0,1,0,0,0,0,0,0,0,0,0
"GLYCOLYSIS-TCA-GLYOX-BYPASS: superpathway of glycolysis, pyruvate dehydrogenase, TCA, and glyoxylate bypass",0,0,0,15,0,0,0,0,0,0,0,0
GLYCOLYSIS: glycolysis I (from glucose 6-phosphate),99,100,93,85,100,93,91,100,97,100,99,100
GLYOXYLATE-BYPASS: glyoxylate cycle,74,77,60,57,28,57,43,91,75,51,65,42
"GOLPDLCAT-PWY: superpathway of glycerol degradation to 1,3-propanediol",0,0,0,0,0,0,0,0,0,0,0,0
HCAMHPDEG-PWY: 3-phenylpropanoate and 3-(3-hydroxyphenyl)propanoate degradation to 2-oxopent-4-enoate,0,0,0,0,0,0,0,0,0,0,0,0
HEME-BIOSYNTHESIS-II: heme biosynthesis I (aerobic),0,0,0,0,0,0,0,0,0,0,0,0
HEMESYN2-PWY: heme biosynthesis II (anaerobic),0,0,44,34,0,0,44,0,0,0,0,0
HEXITOLDEGSUPER-PWY: superpathway of hexitol degradation (bacteria),0,0,0,0,0,0,0,0,0,0,0,0
HISDEG-PWY: L-histidine degradation I,0,0,0,0,0,0,0,0,0,0,0,0
HISHP-PWY: L-histidine degradation VI,91,96,42,52,97,69,66,78,72,76,90,94
HISTSYN-PWY: L-histidine biosynthesis,6,2,32,38,0,42,11,0,0,9,9,0
HOMOSER-METSYN-PWY: L-methionine biosynthesis I,0,0,0,0,0,0,1,0,0,0,0,0
HSERMETANA-PWY: L-methionine biosynthesis III,73,64,53,53,87,54,34,84,74,76,68,87
ILEUDEG-PWY: L-isoleucine degradation I,0,0,0,0,0,0,0,0,0,0,0,0
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine),100,100,100,100,100,100,100,100,100,100,100,100
KDO-NAGLIPASYN-PWY: superpathway of (Kdo)2-lipid A biosynthesis,0,0,0,0,0,0,0,0,0,0,0,0
KETOGLUCONMET-PWY: ketogluconate metabolism,0,0,0,0,0,0,0,0,0,0,0,0
LACTOSECAT-PWY: lactose and galactose degradation I,0,0,0,0,0,0,0,0,0,0,0,0
LEU-DEG2-PWY: L-leucine degradation I,0,0,0,0,0,0,0,0,0,0,0,0
LIPASYN-PWY: phospholipases,0,0,0,0,0,0,0,0,0,0,0,0
LYSDEGII-PWY: L-lysine degradation III,0,0,0,1,0,0,0,0,0,0,0,0
LYSINE-AMINOAD-PWY: L-lysine biosynthesis IV,0,0,0,0,0,0,0,0,0,0,0,0
LYSINE-DEG1-PWY: L-lysine degradation XI (mammalian),0,0,0,0,0,0,0,0,0,0,0,0
"MANNOSYL-CHITO-DOLICHOL-BIOSYNTHESIS: protein N-glycosylation (eukaryotic, high mannose)",0,0,0,0,0,0,0,0,0,0,0,0
MET-SAM-PWY: superpathway of S-adenosyl-L-methionine biosynthesis,0,0,0,0,0,0,0,0,0,0,0,0
METH-ACETATE-PWY: methanogenesis from acetate,0,0,0,0,0,0,0,0,0,0,0,0
METHANOGENESIS-PWY: methanogenesis from H2 and CO2,0,0,0,0,0,0,0,0,0,0,0,0
METHGLYUT-PWY: superpathway of methylglyoxal degradation,0,0,0,0,0,0,0,0,0,0,0,0
METHYLGALLATE-DEGRADATION-PWY: methylgallate degradation,0,0,0,0,0,0,0,0,0,0,0,0
METSYN-PWY: L-homoserine and L-methionine biosynthesis,0,0,0,1,0,0,1,0,0,0,0,0
NAD-BIOSYNTHESIS-II: NAD salvage pathway II,0,0,0,0,0,0,0,0,0,0,0,0
NADSYN-PWY: NAD biosynthesis II (from tryptophan),0,0,0,0,0,0,0,0,0,0,0,0
NAGLIPASYN-PWY: lipid IVA biosynthesis,0,0,0,0,0,0,0,0,0,0,0,0
NONMEVIPP-PWY: methylerythritol phosphate pathway I,100,100,96,95,100,97,92,100,100,100,100,100
NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch),100,100,97,99,100,99,98,100,100,100,100,100
NPGLUCAT-PWY: Entner-Doudoroff pathway II (non-phosphorylative),0,0,0,0,0,0,0,0,0,0,0,0
OANTIGEN-PWY: O-antigen building blocks biosynthesis (E. coli),0,0,0,2,0,0,0,0,0,0,0,0
ORNARGDEG-PWY: superpathway of L-arginine and L-ornithine degradation,0,0,0,0,0,0,0,0,0,0,0,0
ORNDEG-PWY: superpathway of ornithine degradation,0,0,0,0,0,0,0,0,0,0,0,0
P101-PWY: ectoine biosynthesis,0,0,0,0,0,0,0,0,0,0,0,0
P105-PWY: TCA cycle IV (2-oxoglutarate decarboxylase),87,89,79,76,49,77,66,96,88,72,82,65
P108-PWY: pyruvate fermentation to propanoate I,0,0,0,0,0,0,0,0,0,0,0,0
P122-PWY: heterolactic fermentation,0,0,1,3,0,0,0,0,1,0,0,0
P124-PWY: Bifidobacterium shunt,0,0,1,2,0,0,0,0,2,0,0,0
"P125-PWY: superpathway of (R,R)-butanediol biosynthesis",0,0,0,0,0,0,0,0,0,0,0,0
P161-PWY: acetylene degradation,0,0,0,0,0,0,0,0,0,0,0,0
P162-PWY: L-glutamate degradation V (via hydroxyglutarate),0,0,0,0,0,0,0,0,0,0,0,0
P163-PWY: L-lysine fermentation to acetate and butanoate,0,0,0,0,0,0,0,0,0,0,0,0
P164-PWY: purine nucleobases degradation I (anaerobic),0,0,0,0,0,0,0,0,0,0,0,0
P165-PWY: superpathway of purines degradation in plants,0,0,0,0,0,0,0,0,0,0,0,0
P184-PWY: protocatechuate degradation I (meta-cleavage pathway),0,0,0,0,0,0,0,0,0,0,0,0
P185-PWY: formaldehyde assimilation III (dihydroxyacetone cycle),0,0,0,0,0,0,0,0,0,0,0,0
P221-PWY: octane oxidation,0,0,0,0,0,0,0,0,0,0,0,0
P23-PWY: reductive TCA cycle I,0,0,0,0,0,0,0,0,0,0,0,0
P241-PWY: coenzyme B biosynthesis,0,0,0,0,0,0,0,0,0,0,0,0
P261-PWY: coenzyme M biosynthesis I,0,0,0,0,0,0,0,0,0,0,0,0
P3-PWY: gallate degradation III (anaerobic),0,0,0,0,0,0,0,0,0,0,0,0
P381-PWY: adenosylcobalamin biosynthesis II (late cobalt incorporation),0,0,0,0,0,0,0,0,0,0,0,0
"P4-PWY: superpathway of L-lysine, L-threonine and L-methionine biosynthesis I",0,0,1,1,0,0,3,0,0,0,0,0
P41-PWY: pyruvate fermentation to acetate and lactate I,88,90,64,67,97,57,62,99,100,100,86,100
P42-PWY: incomplete reductive TCA cycle,0,0,0,0,0,0,0,0,0,0,0,0
P441-PWY: superpathway of N-acetylneuraminate degradation,0,0,0,0,0,0,0,0,0,0,0,0
"P461-PWY: hexitol fermentation to lactate, formate, ethanol and acetate",0,0,0,0,0,0,0,0,0,0,0,0
P562-PWY: myo-inositol degradation I,0,0,0,0,0,0,0,0,0,0,0,0
P601-PWY: (+)-camphor degradation,0,0,0,0,0,0,0,0,0,0,0,0
PANTO-PWY: phosphopantothenate biosynthesis I,0,3,3,37,1,3,4,1,15,1,1,1
PANTOSYN-PWY: pantothenate and coenzyme A biosynthesis I,0,2,3,25,1,2,5,0,0,0,0,0
PENTOSE-P-PWY: pentose phosphate pathway,1,1,26,10,1,7,5,0,1,2,2,18
PEPTIDOGLYCANSYN-PWY: peptidoglycan biosynthesis I (meso-diaminopimelate containing),0,0,0,0,0,0,0,0,0,0,0,0
PHOSLIPSYN-PWY: superpathway of phospholipid biosynthesis I (bacteria),0,0,0,0,0,0,0,0,0,0,0,0
PHOSLIPSYN2-PWY: superpathway of phospholipid biosynthesis II (plants),0,0,0,0,0,0,0,0,0,0,0,0
PHOTOALL-PWY: oxygenic photosynthesis,0,0,0,2,0,0,2,0,0,0,0,0
POLYAMINSYN3-PWY: superpathway of polyamine biosynthesis II,0,0,0,0,0,0,0,0,0,0,0,0
POLYAMSYN-PWY: superpathway of polyamine biosynthesis I,0,0,0,0,0,0,0,0,0,0,0,0
POLYISOPRENSYN-PWY: polyisoprenoid biosynthesis (E. coli),28,6,38,19,45,20,33,14,0,6,6,1
PPGPPMET-PWY: ppGpp biosynthesis,0,0,0,0,0,0,0,0,0,0,0,0
PROPFERM-PWY: L-alanine fermentation to propanoate and acetate,0,0,0,0,0,0,0,0,0,0,0,0
PROTOCATECHUATE-ORTHO-CLEAVAGE-PWY: protocatechuate degradation II (ortho-cleavage pathway),0,0,0,0,0,0,0,0,0,0,0,0
"PRPP-PWY: superpathway of histidine, purine, and pyrimidine biosynthesis",0,0,0,0,0,0,0,0,0,0,0,0
PWY-101: photosynthesis light reactions,0,0,0,1,0,0,1,0,0,0,0,0
PWY-1042: glycolysis IV (plant cytosol),100,100,100,100,100,100,100,100,100,100,100,100
PWY-1121: suberin monomers biosynthesis,0,0,0,0,0,0,0,0,0,0,0,0
PWY-1186: L-homomethionine biosynthesis,0,0,0,3,0,0,0,0,0,0,0,0
PWY-1269: CMP-3-deoxy-D-manno-octulosonate biosynthesis I,0,0,0,0,0,0,0,0,0,0,0,0
PWY-1361: benzoyl-CoA degradation I (aerobic),0,0,0,0,0,0,0,0,0,0,0,0
PWY-1422: vitamin E biosynthesis (tocopherols),0,0,0,0,0,0,0,0,0,0,0,0
PWY-1501: mandelate degradation I,0,0,0,0,0,0,0,0,0,0,0,0
PWY-1541: superpathway of taurine degradation,0,0,0,0,0,0,0,0,0,0,0,0
PWY-1622: formaldehyde assimilation I (serine pathway),0,0,0,0,0,0,0,0,0,0,0,0
PWY-181: photorespiration,0,0,0,0,0,0,0,0,0,0,0,0
PWY-1861: formaldehyde assimilation II (RuMP Cycle),0,0,0,0,0,0,0,0,0,0,0,0
PWY-1882: superpathway of C1 compounds oxidation to CO2,0,0,0,0,0,0,0,0,0,0,0,0
PWY-2201: folate transformations I,9,84,72,40,73,69,51,83,64,69,61,63
PWY-2221: Entner-Doudoroff pathway III (semi-phosphorylative),0,0,0,0,0,0,0,0,0,0,0,0
"PWY-241: C4 photosynthetic carbon assimilation cycle, NADP-ME type",0,0,0,0,0,0,9,0,0,0,0,0
PWY-2464: maackiain biosynthesis,0,0,0,0,0,0,0,0,0,0,0,0
PWY-2504: superpathway of aromatic compound degradation via 3-oxoadipate,0,0,0,0,0,0,0,0,0,0,0,0
PWY-2541: plant sterol biosynthesis,0,0,0,0,0,0,0,0,0,0,0,0
PWY-2582: brassinosteroid biosynthesis II,100,100,0,0,100,98,0,100,100,100,100,100
PWY-2723: trehalose degradation V,0,0,0,0,0,0,0,0,0,0,0,0
PWY-282: cuticular wax biosynthesis,0,0,0,0,0,0,0,0,0,0,0,0
PWY-2941: L-lysine biosynthesis II,0,0,0,0,0,0,0,0,0,0,0,0
PWY-2942: L-lysine biosynthesis III,0,0,0,0,0,0,0,0,0,0,0,0
PWY-3001: superpathway of L-isoleucine biosynthesis I,97,96,76,81,96,90,86,96,93,92,95,94
PWY-3081: L-lysine biosynthesis V,0,0,0,0,0,0,0,0,0,0,0,0
PWY-321: cutin biosynthesis,0,0,0,0,0,0,0,0,0,0,0,0
PWY-3385: choline biosynthesis I,0,0,0,0,0,0,0,0,0,0,0,0
PWY-3481: superpathway of L-phenylalanine and L-tyrosine biosynthesis,0,0,0,0,0,0,0,0,0,0,0,0
PWY-3502: superpathway of NAD biosynthesis in eukaryotes,0,0,0,0,0,0,0,0,0,0,0,0
PWY-361: phenylpropanoid biosynthesis,0,0,0,0,0,0,0,0,0,0,0,0
PWY-3661: glycine betaine degradation I,0,0,0,0,0,0,0,0,0,0,0,0
PWY-3781: aerobic respiration I (cytochrome c),87,89,54,79,66,59,21,61,76,80,80,15
PWY-3801: sucrose degradation II (sucrose synthase),0,0,0,0,0,0,0,0,0,0,0,0
PWY-3841: folate transformations II,100,100,100,99,100,100,100,100,100,100,100,100
PWY-3941: &beta;-alanine biosynthesis II,0,0,0,0,0,0,0,0,0,0,0,0
PWY-4041: &gamma;-glutamyl cycle,0,0,0,0,0,0,0,0,0,0,0,0
PWY-4061: glutathione-mediated detoxification I,0,0,0,0,0,0,0,0,0,0,0,0
PWY-4202: arsenate detoxification I (glutaredoxin),0,0,0,0,0,0,0,0,0,0,0,0
PWY-4221: pantothenate and coenzyme A biosynthesis II (plants),0,0,0,0,0,0,0,0,0,0,0,0
PWY-4242: pantothenate and coenzyme A biosynthesis III,0,1,3,16,0,1,5,0,0,0,0,0
PWY-4321: L-glutamate degradation IV,0,0,0,0,0,0,0,0,0,0,0,0
PWY-4361: S-methyl-5-thio-&alpha;-D-ribose 1-phosphate degradation,0,0,0,0,0,0,0,0,0,0,0,0
PWY-4722: creatinine degradation II,0,0,0,0,0,0,0,0,0,0,0,0
PWY-4762: superpathway of choline biosynthesis,0,0,0,0,0,0,0,0,0,0,0,0
PWY-4981: L-proline biosynthesis II (from arginine),0,0,0,0,0,0,0,0,0,0,0,0
PWY-4984: urea cycle,0,1,6,21,0,3,12,0,0,1,1,1
PWY-5004: superpathway of L-citrulline metabolism,0,0,0,0,0,0,0,0,0,0,0,0
PWY-5005: biotin biosynthesis II,0,0,0,0,0,0,0,0,0,0,0,0
PWY-5022: 4-aminobutanoate degradation V,1,17,6,17,1,8,5,2,1,0,1,0
PWY-5030: L-histidine degradation III,0,0,0,0,0,0,0,0,0,0,0,0
PWY-5041: S-adenosyl-L-methionine cycle II,0,0,0,0,0,0,0,0,0,0,0,0
PWY-5044: purine nucleotides degradation I (plants),0,0,0,0,0,0,0,0,0,0,0,0
PWY-5055: nicotinate degradation III,0,0,0,0,0,0,0,0,0,0,0,0
PWY-5062: superpathway of nicotinate degradation,0,0,0,0,0,0,0,0,0,0,0,0
PWY-5067: glycogen biosynthesis II (from UDP-D-Glucose),0,0,0,0,0,0,0,0,0,0,0,0
PWY-5068: chlorophyll cycle,0,0,0,0,0,0,0,0,0,0,0,0
PWY-5080: very long chain fatty acid biosynthesis I,0,0,0,0,0,0,0,0,0,0,0,0
PWY-5083: NAD/NADH phosphorylation and dephosphorylation,0,0,0,0,0,0,0,0,0,0,0,0
PWY-5088: L-glutamate degradation VIII (to propanoate),0,0,0,0,0,0,0,0,0,0,0,0
PWY-5097: L-lysine biosynthesis VI,100,100,94,82,100,90,78,100,99,100,100,100
PWY-5100: pyruvate fermentation to acetate and lactate II,40,66,51,45,95,39,44,99,100,100,83,100
PWY-5101: L-isoleucine biosynthesis II,1,9,12,24,0,11,17,12,35,35,1,64
PWY-5103: L-isoleucine biosynthesis III,0,0,0,0,0,0,0,0,0,0,0,0
PWY-5104: L-isoleucine biosynthesis IV,0,0,0,0,0,0,0,0,0,0,0,0
PWY-5109: 2-methylbutanoate biosynthesis,0,0,0,0,0,0,0,0,0,0,0,0
PWY-5121: superpathway of geranylgeranyl diphosphate biosynthesis II (via MEP),40,14,54,27,52,36,52,27,1,14,14,3
PWY-5129: sphingolipid biosynthesis (plants),0,0,0,0,0,0,0,0,0,0,0,0
PWY-5135: xanthohumol biosynthesis,0,0,0,0,0,0,0,0,0,0,0,0
PWY-5136: fatty acid &beta;-oxidation II (peroxisome),0,0,0,0,0,0,0,0,0,0,0,0
"PWY-5138: unsaturated, even numbered fatty acid &beta;-oxidation",0,0,0,1,0,0,0,0,0,0,0,0
PWY-5140: cannabinoid biosynthesis,0,0,0,0,0,0,0,0,0,0,0,0
PWY-5154: L-arginine biosynthesis III (via N-acetyl-L-citrulline),0,0,0,0,0,0,0,0,0,0,0,0
PWY-5156: superpathway of fatty acid biosynthesis II (plant),0,0,0,0,0,0,0,0,0,0,0,0
PWY-5163: p-cumate degradation to 2-oxopent-4-enoate,0,0,0,94,0,0,0,0,0,0,0,0
PWY-5168: ferulate and sinapate biosynthesis,0,0,0,0,0,0,0,0,0,0,0,0
PWY-5173: superpathway of acetyl-CoA biosynthesis,0,1,32,21,2,4,28,1,1,0,2,0
PWY-5177: glutaryl-CoA degradation,0,0,0,0,0,0,0,0,0,0,0,0
PWY-5178: toluene degradation IV (aerobic) (via catechol),0,0,0,0,0,0,0,0,0,0,0,0
PWY-5179: toluene degradation V (aerobic) (via toluene-cis-diol),0,0,0,0,0,0,0,0,0,0,0,0
PWY-5180: toluene degradation I (aerobic) (via o-cresol),0,0,0,8,0,0,7,0,0,0,0,0
PWY-5181: toluene degradation III (aerobic) (via p-cresol),0,0,0,0,0,0,0,0,0,0,0,0
PWY-5182: toluene degradation II (aerobic) (via 4-methylcatechol),0,0,0,7,0,0,6,0,0,0,0,0
PWY-5183: superpathway of aerobic toluene degradation,0,0,0,0,0,0,0,0,0,0,0,0
PWY-5188: tetrapyrrole biosynthesis I (from glutamate),0,0,0,13,0,0,0,0,0,0,0,0
PWY-5189: tetrapyrrole biosynthesis II (from glycine),0,0,0,8,0,0,0,0,0,0,0,0
PWY-5198: factor 420 biosynthesis,0,0,0,0,0,0,0,0,0,0,0,0
PWY-5209: methyl-coenzyme M oxidation to CO2,0,0,0,20,0,0,0,0,0,0,0,0
PWY-5265: peptidoglycan biosynthesis II (staphylococci),0,0,0,0,0,0,0,0,0,0,0,0
PWY-5266: p-cymene degradation,0,0,0,17,0,0,0,0,0,0,0,0
PWY-5270: morphine biosynthesis,0,0,0,0,0,0,0,0,0,0,0,0
PWY-5273: p-cumate degradation,0,0,0,14,0,0,0,0,0,0,0,0
PWY-5283: L-lysine degradation V,0,0,0,0,0,0,0,0,0,0,0,0
PWY-5287: sanguinarine and macarpine biosynthesis,0,0,0,0,0,0,0,0,0,0,0,0
PWY-5304: superpathway of sulfur oxidation (Acidianus ambivalens),100,100,100,100,100,100,100,100,100,100,100,100
PWY-5316: nicotine biosynthesis,4,1,10,33,15,9,38,7,1,4,0,0
PWY-5328: superpathway of L-methionine salvage and degradation,0,0,0,0,0,0,0,0,0,0,0,0
PWY-5345: superpathway of L-methionine biosynthesis (by sulfhydrylation),0,0,1,18,0,0,6,0,0,0,0,0
PWY-5347: superpathway of L-methionine biosynthesis (transsulfuration),0,0,0,1,0,0,1,0,0,0,0,0
PWY-5353: arachidonate biosynthesis I (lower eukaryotes),0,0,0,0,0,0,0,0,0,0,0,0
PWY-5367: petroselinate biosynthesis,0,0,0,0,0,0,0,0,0,0,0,0
PWY-5384: sucrose degradation IV (sucrose phosphorylase),0,0,0,0,0,0,0,0,0,0,0,0
PWY-5392: reductive TCA cycle II,0,0,0,0,0,0,0,0,0,0,0,0
PWY-5405: superpathway of betalain biosynthesis,0,0,0,0,0,0,0,0,0,0,0,0
PWY-5415: catechol degradation I (meta-cleavage pathway),0,0,0,0,0,0,0,0,0,0,0,0
PWY-5416: superpathway of diterpene resin acids biosynthesis,0,0,0,0,0,0,0,0,0,0,0,0
PWY-5417: catechol degradation III (ortho-cleavage pathway),0,0,0,0,0,0,0,0,0,0,0,0
PWY-5419: catechol degradation to 2-oxopent-4-enoate II,0,0,0,0,0,0,0,0,0,0,0,0
PWY-5420: catechol degradation II (meta-cleavage pathway),0,0,0,0,0,0,0,0,0,0,0,0
PWY-5427: naphthalene degradation (aerobic),0,0,0,0,0,0,0,0,0,0,0,0
PWY-5430: meta cleavage pathway of aromatic compounds,0,0,0,0,0,0,0,0,0,0,0,0
PWY-5431: aromatic compounds degradation via &beta;-ketoadipate,0,0,0,0,0,0,0,0,0,0,0,0
PWY-5437: L-threonine degradation I,0,0,0,0,0,0,0,0,0,0,0,0
PWY-5451: acetone degradation I (to methylglyoxal),0,0,0,0,0,0,0,0,0,0,0,0
"PWY-5464: superpathway of cytosolic glycolysis (plants), pyruvate dehydrogenase and TCA cycle",89,94,94,87,97,79,78,93,95,98,98,99
PWY-5484: glycolysis II (from fructose 6-phosphate),98,99,93,85,100,92,89,100,97,99,99,99
PWY-5488: 4-nitrophenol degradation II,0,0,0,0,0,0,0,0,0,0,0,0
PWY-5499: vitamin B6 degradation,0,0,0,0,0,0,0,0,0,0,0,0
PWY-5505: L-glutamate and L-glutamine biosynthesis,36,36,29,25,18,18,30,19,5,18,31,16
"PWY-5508: adenosylcobalamin biosynthesis from cobyrinate a,c-diamide II",0,0,0,0,0,0,0,0,0,0,0,0
"PWY-5509: adenosylcobalamin biosynthesis from cobyrinate a,c-diamide I",0,0,0,0,0,0,0,0,0,0,0,0
PWY-5514: UDP-N-acetyl-D-galactosamine biosynthesis II,0,0,0,0,0,0,0,0,0,0,0,0
PWY-5517: L-arabinose degradation III,0,0,0,0,0,0,0,0,0,0,0,0
PWY-5529: superpathway of bacteriochlorophyll a biosynthesis,0,0,0,0,0,0,0,0,0,0,0,0
PWY-5531: chlorophyllide a biosynthesis II (anaerobic),0,0,0,0,0,0,0,0,0,0,0,0
PWY-5532: adenosine nucleotides degradation IV,0,0,0,0,0,0,0,0,0,0,0,0
PWY-5534: propylene degradation,0,0,0,0,0,0,0,0,0,0,0,0
PWY-561: superpathway of glyoxylate cycle and fatty acid degradation,0,0,0,0,0,0,0,0,0,0,0,0
PWY-5647: 2-nitrobenzoate degradation I,0,0,0,0,0,0,0,0,0,0,0,0
