"","LevelD","MM1","MM2","MM3","MM4","MV1","MV2","MV3","UM1","UM2","UM3","UM4","UM5","Order","LevelA","LevelB","LevelC_id","LevelC","LevelD_id","EC"
"36","K00012",9165,6881,2740,1781,12068,3103,1368,7509,6887,7653,9503,12090,1382,"Metabolism","Carbohydrate metabolism",53,"Ascorbate and aldarate metabolism [PATH:ko00053]","UGDH	 ugd; UDPglucose 6-dehydrogenase ","[EC:1.1.1.22]								"
"37","K00013",12803,12063,3974,2307,16499,4727,2282,12500,10818,11949,12926,15361,671,"Metabolism","Overview",1230,"Biosynthesis of amino acids [PATH:ko01230]","hisD; histidinol dehydrogenase ","[EC:1.1.1.23]									"
"38","K00013",12803,12063,3974,2307,16499,4727,2282,12500,10818,11949,12926,15361,4569,"Metabolism","Amino acid metabolism",340,"Histidine metabolism [PATH:ko00340]","hisD; histidinol dehydrogenase ","[EC:1.1.1.23]									"
"39","K00014",13872,10971,4021,1938,16432,5324,2827,11453,11632,12821,12100,18228,680,"Metabolism","Overview",1230,"Biosynthesis of amino acids [PATH:ko01230]","aroE; shikimate dehydrogenase ","[EC:1.1.1.25]									"
"40","K00014",13872,10971,4021,1938,16432,5324,2827,11453,11632,12821,12100,18228,4820,"Metabolism","Amino acid metabolism",400,"Phenylalanine tyrosine and tryptophan biosynthesis [PATH:ko00400]","aroE; shikimate dehydrogenase ","[EC:1.1.1.25]									"
"41","K00015",3288,3280,1316,886,4779,1135,901,4039,2998,3411,4068,5318,1836,"Metabolism","Carbohydrate metabolism",630,"Glyoxylate and dicarboxylate metabolism [PATH:ko00630]","gyaR; glyoxylate reductase ","[EC:1.1.1.26]									"
"42","K00016",3471,3311,806,691,5433,981,899,5128,3829,3457,3929,6688,1721,"Metabolism","Carbohydrate metabolism",620,"Pyruvate metabolism [PATH:ko00620]","LDH	 ldh; L-lactate dehydrogenase ","[EC:1.1.1.27]								"
"43","K00016",3471,3311,806,691,5433,981,899,5128,3829,3457,3929,6688,962,"Metabolism","Carbohydrate metabolism",10,"Glycolysis / Gluconeogenesis [PATH:ko00010]","LDH	 ldh; L-lactate dehydrogenase ","[EC:1.1.1.27]								"
"44","K00016",3471,3311,806,691,5433,981,899,5128,3829,3457,3929,6688,1934,"Metabolism","Carbohydrate metabolism",640,"Propanoate metabolism [PATH:ko00640]","LDH	 ldh; L-lactate dehydrogenase ","[EC:1.1.1.27]								"
"45","K00016",3471,3311,806,691,5433,981,899,5128,3829,3457,3929,6688,4179,"Metabolism","Amino acid metabolism",270,"Cysteine and methionine metabolism [PATH:ko00270]","LDH	 ldh; L-lactate dehydrogenase ","[EC:1.1.1.27]								"
"46","K00018",780,736,255,93,1002,297,109,840,813,867,678,1140,302,"Metabolism","Overview",1200,"Carbon metabolism [PATH:ko01200]","hprA; glycerate dehydrogenase ","[EC:1.1.1.29]									"
"47","K00018",780,736,255,93,1002,297,109,840,813,867,678,1140,4034,"Metabolism","Amino acid metabolism",260,"Glycine serine and threonine metabolism [PATH:ko00260]","hprA; glycerate dehydrogenase ","[EC:1.1.1.29]									"
"48","K00018",780,736,255,93,1002,297,109,840,813,867,678,1140,2641,"Metabolism","Energy metabolism",680,"Methane metabolism [PATH:ko00680]","hprA; glycerate dehydrogenase ","[EC:1.1.1.29]									"
"49","K00018",780,736,255,93,1002,297,109,840,813,867,678,1140,1837,"Metabolism","Carbohydrate metabolism",630,"Glyoxylate and dicarboxylate metabolism [PATH:ko00630]","hprA; glycerate dehydrogenase ","[EC:1.1.1.29]									"
"50","K00019",6651,5132,1881,1259,7857,1561,663,5190,4470,3433,5388,6456,2038,"Metabolism","Carbohydrate metabolism",650,"Butanoate metabolism [PATH:ko00650]","E1.1.1.30	 bdh; 3-hydroxybutyrate dehydrogenase ","[EC:1.1.1.30]								"
"51","K00019",6651,5132,1881,1259,7857,1561,663,5190,4470,3433,5388,6456,3016,"Metabolism","Lipid metabolism",72,"Synthesis and degradation of ketone bodies [PATH:ko00072]","E1.1.1.30	 bdh; 3-hydroxybutyrate dehydrogenase ","[EC:1.1.1.30]								"
"52","K00020",3943,3304,1102,596,5208,1528,622,3267,2861,3466,3958,5776,4240,"Metabolism","Amino acid metabolism",280,"Valine leucine and isoleucine degradation [PATH:ko00280]","mmsB	 HIBADH; 3-hydroxyisobutyrate dehydrogenase ","[EC:1.1.1.31]								"
"53","K00021",821,727,118,76,839,208,222,672,438,1111,1103,785,5978,"Metabolism","Metabolism of terpenoids and polyketides",900,"Terpenoid backbone biosynthesis [PATH:ko00900]","HMGCR; hydroxymethylglutaryl-CoA reductase (NADPH) ","[EC:1.1.1.34]									"
"54","K00021",821,727,118,76,839,208,222,672,438,1111,1103,785,12739,"Environmental Information Processing","Signal transduction",4152,"AMPK signaling pathway [PATH:ko04152]","HMGCR; hydroxymethylglutaryl-CoA reductase (NADPH) ","[EC:1.1.1.34]									"
"55","K00022",1535,1209,378,320,1997,556,281,1472,1427,1589,1422,2233,1963,"Metabolism","Carbohydrate metabolism",650,"Butanoate metabolism [PATH:ko00650]","HADH; 3-hydroxyacyl-CoA dehydrogenase ","[EC:1.1.1.35]									"
"56","K00022",1535,1209,378,320,1997,556,281,1472,1427,1589,1422,2233,4762,"Metabolism","Amino acid metabolism",380,"Tryptophan metabolism [PATH:ko00380]","HADH; 3-hydroxyacyl-CoA dehydrogenase ","[EC:1.1.1.35]									"
"57","K00022",1535,1209,378,320,1997,556,281,1472,1427,1589,1422,2233,4220,"Metabolism","Amino acid metabolism",280,"Valine leucine and isoleucine degradation [PATH:ko00280]","HADH; 3-hydroxyacyl-CoA dehydrogenase ","[EC:1.1.1.35]									"
"58","K00022",1535,1209,378,320,1997,556,281,1472,1427,1589,1422,2233,6258,"Metabolism","Metabolism of terpenoids and polyketides",281,"Geraniol degradation [PATH:ko00281]","HADH; 3-hydroxyacyl-CoA dehydrogenase ","[EC:1.1.1.35]									"
"59","K00022",1535,1209,378,320,1997,556,281,1472,1427,1589,1422,2233,7487,"Metabolism","Xenobiotics biodegradation and metabolism",930,"Caprolactam degradation [PATH:ko00930]","HADH; 3-hydroxyacyl-CoA dehydrogenase ","[EC:1.1.1.35]									"
"60","K00022",1535,1209,378,320,1997,556,281,1472,1427,1589,1422,2233,2964,"Metabolism","Lipid metabolism",71,"Fatty acid degradation [PATH:ko00071]","HADH; 3-hydroxyacyl-CoA dehydrogenase ","[EC:1.1.1.35]									"
"61","K00022",1535,1209,378,320,1997,556,281,1472,1427,1589,1422,2233,2936,"Metabolism","Lipid metabolism",62,"Fatty acid elongation [PATH:ko00062]","HADH; 3-hydroxyacyl-CoA dehydrogenase ","[EC:1.1.1.35]									"
"62","K00022",1535,1209,378,320,1997,556,281,1472,1427,1589,1422,2233,4344,"Metabolism","Amino acid metabolism",310,"Lysine degradation [PATH:ko00310]","HADH; 3-hydroxyacyl-CoA dehydrogenase ","[EC:1.1.1.35]									"
"63","K00022",1535,1209,378,320,1997,556,281,1472,1427,1589,1422,2233,456,"Metabolism","Overview",1212,"Fatty acid metabolism [PATH:ko01212]","HADH; 3-hydroxyacyl-CoA dehydrogenase ","[EC:1.1.1.35]									"
"64","K00023",5939,4202,1216,978,6335,1434,649,4479,4971,4107,5196,6568,1781,"Metabolism","Carbohydrate metabolism",630,"Glyoxylate and dicarboxylate metabolism [PATH:ko00630]","E1.1.1.36	 phbB; acetoacetyl-CoA reductase ","[EC:1.1.1.36]								"
"65","K00023",5939,4202,1216,978,6335,1434,649,4479,4971,4107,5196,6568,1989,"Metabolism","Carbohydrate metabolism",650,"Butanoate metabolism [PATH:ko00650]","E1.1.1.36	 phbB; acetoacetyl-CoA reductase ","[EC:1.1.1.36]								"
"66","K00023",5939,4202,1216,978,6335,1434,649,4479,4971,4107,5196,6568,118,"Metabolism","Overview",1200,"Carbon metabolism [PATH:ko01200]","E1.1.1.36	 phbB; acetoacetyl-CoA reductase ","[EC:1.1.1.36]								"
"67","K00024",26891,23088,6813,3736,36261,10330,5670,25669,22605,24776,26976,33599,2487,"Metabolism","Energy metabolism",710,"Carbon fixation in photosynthetic organisms [PATH:ko00710]","mdh; malate dehydrogenase ","[EC:1.1.1.37]									"
"68","K00024",26891,23088,6813,3736,36261,10330,5670,25669,22605,24776,26976,33599,1774,"Metabolism","Carbohydrate metabolism",630,"Glyoxylate and dicarboxylate metabolism [PATH:ko00630]","mdh; malate dehydrogenase ","[EC:1.1.1.37]									"
"69","K00024",26891,23088,6813,3736,36261,10330,5670,25669,22605,24776,26976,33599,2645,"Metabolism","Energy metabolism",680,"Methane metabolism [PATH:ko00680]","mdh; malate dehydrogenase ","[EC:1.1.1.37]									"
"70","K00024",26891,23088,6813,3736,36261,10330,5670,25669,22605,24776,26976,33599,1748,"Metabolism","Carbohydrate metabolism",620,"Pyruvate metabolism [PATH:ko00620]","mdh; malate dehydrogenase ","[EC:1.1.1.37]									"
"71","K00024",26891,23088,6813,3736,36261,10330,5670,25669,22605,24776,26976,33599,1055,"Metabolism","Carbohydrate metabolism",20,"Citrate cycle (TCA cycle) [PATH:ko00020]","mdh; malate dehydrogenase ","[EC:1.1.1.37]									"
"72","K00024",26891,23088,6813,3736,36261,10330,5670,25669,22605,24776,26976,33599,4183,"Metabolism","Amino acid metabolism",270,"Cysteine and methionine metabolism [PATH:ko00270]","mdh; malate dehydrogenase ","[EC:1.1.1.37]									"
"73","K00024",26891,23088,6813,3736,36261,10330,5670,25669,22605,24776,26976,33599,114,"Metabolism","Overview",1200,"Carbon metabolism [PATH:ko01200]","mdh; malate dehydrogenase ","[EC:1.1.1.37]									"
"74","K00024",26891,23088,6813,3736,36261,10330,5670,25669,22605,24776,26976,33599,2500,"Metabolism","Energy metabolism",720,"Carbon fixation pathways in prokaryotes [PATH:ko00720]","mdh; malate dehydrogenase ","[EC:1.1.1.37]									"
"75","K00025",5561,3980,993,607,5992,1469,1212,5050,4407,4462,5248,5711,1053,"Metabolism","Carbohydrate metabolism",20,"Citrate cycle (TCA cycle) [PATH:ko00020]","MDH1; malate dehydrogenase ","[EC:1.1.1.37]									"
"76","K00025",5561,3980,993,607,5992,1469,1212,5050,4407,4462,5248,5711,113,"Metabolism","Overview",1200,"Carbon metabolism [PATH:ko01200]","MDH1; malate dehydrogenase ","[EC:1.1.1.37]									"
"77","K00025",5561,3980,993,607,5992,1469,1212,5050,4407,4462,5248,5711,1746,"Metabolism","Carbohydrate metabolism",620,"Pyruvate metabolism [PATH:ko00620]","MDH1; malate dehydrogenase ","[EC:1.1.1.37]									"
"78","K00025",5561,3980,993,607,5992,1469,1212,5050,4407,4462,5248,5711,4184,"Metabolism","Amino acid metabolism",270,"Cysteine and methionine metabolism [PATH:ko00270]","MDH1; malate dehydrogenase ","[EC:1.1.1.37]									"
"79","K00025",5561,3980,993,607,5992,1469,1212,5050,4407,4462,5248,5711,2485,"Metabolism","Energy metabolism",710,"Carbon fixation in photosynthetic organisms [PATH:ko00710]","MDH1; malate dehydrogenase ","[EC:1.1.1.37]									"
"80","K00025",5561,3980,993,607,5992,1469,1212,5050,4407,4462,5248,5711,1772,"Metabolism","Carbohydrate metabolism",630,"Glyoxylate and dicarboxylate metabolism [PATH:ko00630]","MDH1; malate dehydrogenase ","[EC:1.1.1.37]									"
"81","K00026",511,391,189,3,483,233,42,245,284,239,274,155,112,"Metabolism","Overview",1200,"Carbon metabolism [PATH:ko01200]","MDH2; malate dehydrogenase ","[EC:1.1.1.37]									"
"82","K00026",511,391,189,3,483,233,42,245,284,239,274,155,1773,"Metabolism","Carbohydrate metabolism",630,"Glyoxylate and dicarboxylate metabolism [PATH:ko00630]","MDH2; malate dehydrogenase ","[EC:1.1.1.37]									"
"83","K00026",511,391,189,3,483,233,42,245,284,239,274,155,1054,"Metabolism","Carbohydrate metabolism",20,"Citrate cycle (TCA cycle) [PATH:ko00020]","MDH2; malate dehydrogenase ","[EC:1.1.1.37]									"
"84","K00026",511,391,189,3,483,233,42,245,284,239,274,155,1747,"Metabolism","Carbohydrate metabolism",620,"Pyruvate metabolism [PATH:ko00620]","MDH2; malate dehydrogenase ","[EC:1.1.1.37]									"
"85","K00026",511,391,189,3,483,233,42,245,284,239,274,155,4185,"Metabolism","Amino acid metabolism",270,"Cysteine and methionine metabolism [PATH:ko00270]","MDH2; malate dehydrogenase ","[EC:1.1.1.37]									"
"86","K00026",511,391,189,3,483,233,42,245,284,239,274,155,2486,"Metabolism","Energy metabolism",710,"Carbon fixation in photosynthetic organisms [PATH:ko00710]","MDH2; malate dehydrogenase ","[EC:1.1.1.37]									"
"87","K00027",1608,1094,655,470,1856,607,237,1625,1338,1831,1701,2683,1736,"Metabolism","Carbohydrate metabolism",620,"Pyruvate metabolism [PATH:ko00620]","ME2	 sfcA	 maeA; malate dehydrogenase (oxaloacetate-decarboxylating) ","[EC:1.1.1.38]							"
"88","K00027",1608,1094,655,470,1856,607,237,1625,1338,1831,1701,2683,39,"Metabolism","Overview",1200,"Carbon metabolism [PATH:ko01200]","ME2	 sfcA	 maeA; malate dehydrogenase (oxaloacetate-decarboxylating) ","[EC:1.1.1.38]							"
"89","K00027",1608,1094,655,470,1856,607,237,1625,1338,1831,1701,2683,10017,"Environmental Information Processing","Signal transduction",2020,"Two-component system [PATH:ko02020]","ME2	 sfcA	 maeA; malate dehydrogenase (oxaloacetate-decarboxylating) ","[EC:1.1.1.38]							"
"90","K00028",184,142,89,38,267,72,22,196,105,191,152,241,40,"Metabolism","Overview",1200,"Carbon metabolism [PATH:ko01200]","E1.1.1.39; malate dehydrogenase (decarboxylating) ","[EC:1.1.1.39]									"
"91","K00028",184,142,89,38,267,72,22,196,105,191,152,241,2488,"Metabolism","Energy metabolism",710,"Carbon fixation in photosynthetic organisms [PATH:ko00710]","E1.1.1.39; malate dehydrogenase (decarboxylating) ","[EC:1.1.1.39]									"
"92","K00028",184,142,89,38,267,72,22,196,105,191,152,241,1737,"Metabolism","Carbohydrate metabolism",620,"Pyruvate metabolism [PATH:ko00620]","E1.1.1.39; malate dehydrogenase (decarboxylating) ","[EC:1.1.1.39]									"
"93","K00029",8325,6198,2336,1300,10168,2454,1501,8546,7398,8427,7982,11010,2482,"Metabolism","Energy metabolism",710,"Carbon fixation in photosynthetic organisms [PATH:ko00710]","E1.1.1.40	 maeB; malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+) ","[EC:1.1.1.40]								"
"94","K00029",8325,6198,2336,1300,10168,2454,1501,8546,7398,8427,7982,11010,1738,"Metabolism","Carbohydrate metabolism",620,"Pyruvate metabolism [PATH:ko00620]","E1.1.1.40	 maeB; malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+) ","[EC:1.1.1.40]								"
"95","K00029",8325,6198,2336,1300,10168,2454,1501,8546,7398,8427,7982,11010,41,"Metabolism","Overview",1200,"Carbon metabolism [PATH:ko01200]","E1.1.1.40	 maeB; malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+) ","[EC:1.1.1.40]								"
"96","K00030",4472,4271,1734,762,6136,1465,819,4362,4289,4847,5834,7403,347,"Metabolism","Overview",1210,"2-Oxocarboxylic acid metabolism [PATH:ko01210]","IDH3; isocitrate dehydrogenase (NAD+) ","[EC:1.1.1.41]									"
"97","K00030",4472,4271,1734,762,6136,1465,819,4362,4289,4847,5834,7403,596,"Metabolism","Overview",1230,"Biosynthesis of amino acids [PATH:ko01230]","IDH3; isocitrate dehydrogenase (NAD+) ","[EC:1.1.1.41]									"
"98","K00030",4472,4271,1734,762,6136,1465,819,4362,4289,4847,5834,7403,1021,"Metabolism","Carbohydrate metabolism",20,"Citrate cycle (TCA cycle) [PATH:ko00020]","IDH3; isocitrate dehydrogenase (NAD+) ","[EC:1.1.1.41]									"
"99","K00030",4472,4271,1734,762,6136,1465,819,4362,4289,4847,5834,7403,82,"Metabolism","Overview",1200,"Carbon metabolism [PATH:ko01200]","IDH3; isocitrate dehydrogenase (NAD+) ","[EC:1.1.1.41]									"
"100","K00031",19243,14558,4570,2867,23853,7133,3469,17237,14730,17704,18492,23863,595,"Metabolism","Overview",1230,"Biosynthesis of amino acids [PATH:ko01230]","IDH1	 IDH2	 icd; isocitrate dehydrogenase ","[EC:1.1.1.42]							"
"101","K00031",19243,14558,4570,2867,23853,7133,3469,17237,14730,17704,18492,23863,1020,"Metabolism","Carbohydrate metabolism",20,"Citrate cycle (TCA cycle) [PATH:ko00020]","IDH1	 IDH2	 icd; isocitrate dehydrogenase ","[EC:1.1.1.42]							"
"102","K00031",19243,14558,4570,2867,23853,7133,3469,17237,14730,17704,18492,23863,2537,"Metabolism","Energy metabolism",720,"Carbon fixation pathways in prokaryotes [PATH:ko00720]","IDH1	 IDH2	 icd; isocitrate dehydrogenase ","[EC:1.1.1.42]							"
"103","K00031",19243,14558,4570,2867,23853,7133,3469,17237,14730,17704,18492,23863,5076,"Metabolism","Metabolism of other amino acids",480,"Glutathione metabolism [PATH:ko00480]","IDH1	 IDH2	 icd; isocitrate dehydrogenase ","[EC:1.1.1.42]							"
"104","K00031",19243,14558,4570,2867,23853,7133,3469,17237,14730,17704,18492,23863,346,"Metabolism","Overview",1210,"2-Oxocarboxylic acid metabolism [PATH:ko01210]","IDH1	 IDH2	 icd; isocitrate dehydrogenase ","[EC:1.1.1.42]							"
"105","K00031",19243,14558,4570,2867,23853,7133,3469,17237,14730,17704,18492,23863,81,"Metabolism","Overview",1200,"Carbon metabolism [PATH:ko01200]","IDH1	 IDH2	 icd; isocitrate dehydrogenase ","[EC:1.1.1.42]							"
"106","K00031",19243,14558,4570,2867,23853,7133,3469,17237,14730,17704,18492,23863,13972,"Cellular Processes","Transport and catabolism",4146,"Peroxisome [PATH:ko04146]","IDH1	 IDH2	 icd; isocitrate dehydrogenase ","[EC:1.1.1.42]							"
"107","K00032",203,176,45,43,164,35,38,152,111,237,114,239,1116,"Metabolism","Carbohydrate metabolism",30,"Pentose phosphate pathway [PATH:ko00030]","E1.1.1.43; phosphogluconate 2-dehydrogenase ","[EC:1.1.1.43]									"
"108","K00032",203,176,45,43,164,35,38,152,111,237,114,239,5077,"Metabolism","Metabolism of other amino acids",480,"Glutathione metabolism [PATH:ko00480]","E1.1.1.43; phosphogluconate 2-dehydrogenase ","[EC:1.1.1.43]									"
"109","K00033",6841,4721,2266,998,8272,2547,1680,7970,7318,7924,7970,11535,47,"Metabolism","Overview",1200,"Carbon metabolism [PATH:ko01200]","PGD	 gnd	 gntZ; 6-phosphogluconate dehydrogenase ","[EC:1.1.1.44 1.1.1.343]							"
"110","K00033",6841,4721,2266,998,8272,2547,1680,7970,7318,7924,7970,11535,1081,"Metabolism","Carbohydrate metabolism",30,"Pentose phosphate pathway [PATH:ko00030]","PGD	 gnd	 gntZ; 6-phosphogluconate dehydrogenase ","[EC:1.1.1.44 1.1.1.343]							"
